ano,simbolo,erros
1978,As,1
1978,O,3
1983,O,1
1984,O,3
1984,Os,1
1985,I,1
1985,O,2
1987,O,1
1988,O,2
1990,As,1
1990,O,3
1992,O,1
1993,In,1
1993,O,1
1994,As,1
1994,O,1
1994,Os,1
1995,O,7
1996,La,1
1996,O,1
1996,Os,1
1997,As,2
1997,O,7
1997,Os,2
1998,As,1
1998,O,1
1998,Os,1
1999,La,1
1999,O,6
2000,O,4
2000,Os,2
2001,O,7
2002,O,5
2003,As,1
2003,O,2
2003,Os,2
2004,O,7
2005,O,7
2006,O,6
2006,Os,1
2007,As,2
2007,O,6
2008,O,6
2008,Os,1
2009,In,1
2009,O,6
2010,In,1
2010,O,5
2010,Os,1
2011,In,1
2011,O,5
2012,In,1
2012,O,3
2012,Os,2
2013,In,1
2013,O,6
2014,In,2
2014,O,2
2014,Os,1
2015,O,3
2016,In,2
2016,O,2
2017,O,4
2018,O,3
2018,Os,1
2019,La,1
2019,O,3
2020,In,1
2020,O,2
2021,In,1
2021,O,4
2022,As,2
2022,In,1
2022,O,4
2022,Os,1
2023,As,1
2023,O,2
2024,As,1
2024,O,3